session_label,window_idx,cluster
20260507_141202_order1,1440,4
20260507_141202_order1,1500,2
20260507_141202_order1,1530,5
20260507_141202_order1,1560,5
20260507_141202_order1,1590,2
20260507_141202_order1,1620,2
20260507_141202_order1,1650,2
20260507_141202_order1,1680,4
20260507_141202_order1,1770,4
20260507_141202_order1,1800,2
20260507_141202_order1,1830,2
20260507_141202_order1,1860,2
20260507_141202_order1,1890,2
20260507_141202_order1,1920,4
20260507_141202_order1,1950,4
20260507_141202_order1,1980,4
20260507_141202_order1,2010,4
20260507_141202_order1,2040,2
20260507_141202_order1,2070,2
20260507_141202_order1,2100,2
20260507_141202_order1,2130,5
20260507_141202_order1,2160,5
20260507_141202_order1,2190,5
20260507_141202_order1,2250,5
20260507_141202_order1,2280,5
20260507_141202_order1,2340,5
20260507_141202_order1,2370,2
20260507_141202_order1,2400,2
20260507_141202_order1,2430,2
20260507_141202_order1,2460,2
20260507_141202_order1,2490,2
20260507_141202_order1,2520,5
20260507_141202_order1,2550,5
20260507_141202_order1,2580,4
20260507_141202_order1,2610,2
20260507_141202_order1,2640,2
20260507_141202_order1,2670,5
20260507_141202_order1,2700,5
20260507_141202_order1,2730,4
20260507_141202_order1,2760,2
20260507_141202_order1,2790,2
20260507_141202_order1,2820,5
20260507_141202_order1,2850,3
20260507_141202_order1,2880,5
20260507_141202_order1,2940,5
20260507_141202_order1,2970,4
20260507_141202_order1,3000,5
20260507_141202_order1,3030,5
20260507_141202_order1,3120,5
20260507_141202_order1,3150,5
20260507_141202_order1,3180,5
20260507_141202_order1,3210,5
20260507_141202_order1,3420,5
20260507_141202_order1,3450,5
20260507_141202_order1,3480,5
20260507_141202_order1,3510,5
20260507_141202_order1,3540,5
20260507_141202_order1,3570,5
20260507_141202_order1,3600,5
20260507_141202_order1,3630,5
20260507_141202_order1,3660,5
20260507_141202_order1,3690,5
20260507_141202_order1,3720,5
20260507_141202_order1,3750,5
20260507_142235_order2,0,4
20260507_142235_order2,30,3
20260507_142235_order2,60,2
20260507_142235_order2,90,1
20260507_142235_order2,120,0
20260507_142235_order2,150,5
20260507_142235_order2,180,3
20260507_142235_order2,210,3
20260507_142235_order2,240,1
20260507_142235_order2,270,2
20260507_142235_order2,300,2
20260507_142235_order2,330,2
20260507_142235_order2,390,2
20260507_142235_order2,420,2
20260507_142235_order2,450,2
20260507_142235_order2,480,2
20260507_142235_order2,510,2
20260507_142235_order2,540,5
20260507_142235_order2,570,5
20260507_142235_order2,600,2
20260507_142235_order2,630,2
20260507_142235_order2,660,5
20260507_142235_order2,690,2
20260507_142235_order2,720,2
20260507_142235_order2,750,2
20260507_142235_order2,780,2
20260507_142235_order2,810,2
